,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta1,params_beta2,params_conv_layer0_activation,params_conv_layer0_dropout_p,params_conv_layer0_filters,params_conv_layer1_activation,params_conv_layer1_dropout_p,params_conv_layer1_filters,params_conv_layer2_activation,params_conv_layer2_dropout_p,params_conv_layer2_filters,params_conv_layer3_activation,params_conv_layer3_dropout_p,params_conv_layer3_filters,params_dense_layer0_activation,params_dense_layer0_batchnorm_used,params_dense_layer0_dropout_p,params_dense_layer0_n_neurons,params_dense_layer1_activation,params_dense_layer1_batchnorm_used,params_dense_layer1_dropout_p,params_dense_layer1_n_neurons,params_dense_layer2_activation,params_dense_layer2_batchnorm_used,params_dense_layer2_dropout_p,params_dense_layer2_n_neurons,params_lr,params_momentum,params_n_conv_layers,params_n_dense_layers,params_optimizer,params_weight_decay,state
47,47,0.5839573800563812,2026-04-04 19:56:02.997549,2026-04-04 19:56:20.891508,0 days 00:00:17.893959,0.9067470853861737,,,relu,0.31951270547833416,256,leaky_relu,0.1856126742747698,256,relu,0.08163238175076572,256.0,relu,0.3339646967625808,16.0,leaky_relu,False,0.088912583212514,32,,,,,,,,,0.005218815173021719,,4,1,RMSprop,6.534821454257706e-05,PRUNED
48,48,2.1266475439071657,2026-04-04 19:56:20.902389,2026-04-04 19:56:24.184519,0 days 00:00:03.282130,,0.8221712985113357,0.9913983470521543,relu,0.351881668622309,16,leaky_relu,0.06582942480270715,64,relu,0.05920855386267788,128.0,leaky_relu,0.30723095331881717,64.0,leaky_relu,True,0.18007014516567446,32,relu,True,0.08456321215157073,16.0,leaky_relu,True,0.29651650626609133,64.0,0.0003265837312262286,,4,3,Adam,8.792319127439037e-05,PRUNED
49,49,0.744208911061287,2026-04-04 19:56:24.195669,2026-04-04 19:56:32.598205,0 days 00:00:08.402536,,0.7375189859273092,0.9717087145617233,relu,0.008105833383309669,256,leaky_relu,0.38785965503468667,16,relu,0.06216158856552437,16.0,,,,leaky_relu,False,0.12623710587352158,32,,,,,,,,,0.0016056322257324883,,3,1,Adam,2.9411860345088388e-05,PRUNED
50,50,0.7347346305847168,2026-04-04 19:56:32.608018,2026-04-04 19:56:36.323546,0 days 00:00:03.715528,,0.8530218427441308,0.9929264514488269,relu,0.3804328711638212,32,leaky_relu,0.12117727575223743,16,relu,0.030583960235672534,256.0,relu,0.35673691424170834,16.0,leaky_relu,False,0.062122973133138346,64,leaky_relu,False,0.05152043328786282,64.0,,,,,0.0021982338472133225,,4,2,Adam,2.1540235329010206e-05,PRUNED
51,51,0.3006555512547493,2026-04-04 19:56:36.335767,2026-04-04 19:56:48.047356,0 days 00:00:11.711589,,0.8000473650903702,0.9829976460394994,relu,0.32831148272306154,128,leaky_relu,0.023547004865796792,16,relu,0.12649172540993145,256.0,leaky_relu,0.27667054575414596,256.0,leaky_relu,False,0.012372883519173573,32,,,,,,,,,0.00797003033867404,,4,1,Adam,0.00019509859331964585,COMPLETE
52,52,0.27503452450037,2026-04-04 19:56:48.059556,2026-04-04 19:56:59.774681,0 days 00:00:11.715125,,0.7826730543674376,0.9736770040386764,relu,0.3807620620263214,128,leaky_relu,0.0908359564401828,16,relu,0.09773524432017561,256.0,leaky_relu,0.2619739811573312,256.0,leaky_relu,False,0.03244850382568244,64,,,,,,,,,0.003850360000545767,,4,1,Adam,0.00013553194083981614,COMPLETE
53,53,0.26755710542201994,2026-04-04 19:56:59.785901,2026-04-04 19:57:19.081414,0 days 00:00:19.295513,,0.7478914712808323,0.9570103910750924,relu,0.3818007302059627,256,leaky_relu,0.09564102735282998,16,relu,0.10175040887840377,256.0,leaky_relu,0.07768140204523408,256.0,leaky_relu,False,0.03506606276199846,64,,,,,,,,,0.0032837642460307776,,4,1,Adam,0.00012649413638671317,COMPLETE
54,54,0.3033882312476635,2026-04-04 19:57:19.092125,2026-04-04 19:57:37.722341,0 days 00:00:18.630216,,0.7461424365403455,0.9561304436896831,relu,0.38552035171529425,256,leaky_relu,0.10058513221756436,32,relu,0.09681701686592563,32.0,relu,0.04672534956112345,256.0,leaky_relu,False,0.0032301553813571665,64,,,,,,,,,0.003164658619687489,,4,1,Adam,0.0001341065588278047,COMPLETE
55,55,0.28374639227986337,2026-04-04 19:57:37.732568,2026-04-04 19:57:57.038950,0 days 00:00:19.306382,,0.8963709715693821,0.962637803407441,relu,0.3534612726435342,256,leaky_relu,0.06015183688029226,16,relu,0.14309212314386655,256.0,leaky_relu,0.07683066497546397,256.0,leaky_relu,False,0.03260368283468554,64,,,,,,,,,0.0040292352274636034,,4,1,Adam,4.985469484104045e-05,COMPLETE
56,56,0.9329620987176895,2026-04-04 19:57:57.051764,2026-04-04 19:58:09.849588,0 days 00:00:12.797824,,,,relu,0.3531093794390852,256,leaky_relu,0.2262484856965919,128,relu,0.15993779185922108,256.0,,,,leaky_relu,False,0.05423573567169044,64,,,,,,,,,0.0039010698143434465,0.8989408751856856,3,1,SGD,4.707239735382698e-05,PRUNED
57,57,0.5063753485679626,2026-04-04 19:58:09.859802,2026-04-04 19:58:19.297315,0 days 00:00:09.437513,,0.9003985545784298,0.9637141188167302,relu,0.38508412971784467,256,leaky_relu,0.1480774911465235,16,relu,0.14011253054142658,256.0,leaky_relu,0.07437952614273362,32.0,relu,False,0.06865212497098853,64,,,,,,,,,0.004056746577146742,,4,1,Adam,0.00011043488107309901,PRUNED
